08043,Fremont County,CO,46830,47315,46975,46260,46075,46204,46906,47559
08045,Garfield County,CO,56098,55964,56694,56888,57120,57691,58906,59118
08047,Gilpin County,CO,5462,5418,5420,5520,5736,5791,5905,6013
08049,Grand County,CO,14794,14544,14204,14296,14536,14685,15129,15321
08051,Gunnison County,CO,15355,15444,15431,15646,15835,16166,16491,16939
08053,Hinsdale County,CO,844,825,802,804,773,764,787,794
08055,Huerfano County,CO,6679,6519,6557,6455,6389,6400,6582,6662
08057,Jackson County,CO,1390,1358,1326,1337,1385,1351,1360,1385
08059,Jefferson County,CO,535737,540429,546333,551809,558519,564365,570839,574613
08061,Kiowa County,CO,1404,1431,1409,1392,1380,1384,1348,1376
08063,Kit Carson County,CO,8264,8156,8060,8234,8007,8202,7628,7158
08065,Lake County,CO,7266,7335,7247,7261,7317,7444,7606,7778
08067,La Plata County,CO,51338,51770,52338,53250,53740,54552,55216,55589
08069,Larimer County,CO,300427,305027,310521,315859,323673,332840,338531,343976
08071,Las Animas County,CO,15411,15033,14971,14379,14031,14021,14087,14238
08073,Lincoln County,CO,5473,5417,5441,5436,5507,5548,5562,5546
08075,Logan County,CO,22139,22084,21867,21680,21958,21968,21925,21896
08077,Mesa County,CO,146424,147276,147406,147250,147215,148116,149794,151616
08079,Mineral County,CO,704,711,719,732,703,743,755,766
08081,Moffat County,CO,13798,13412,13159,13115,12931,12940,13161,13131
08083,Montezuma County,CO,25575,25463,25465,25535,25502,25697,25975,26140
08085,Montrose County,CO,41187,40925,40605,40509,40553,40534,41160,41784
08087,Morgan County,CO,28234,28396,28198,28169,28044,28145,28063,28192
08089,Otero County,CO,18884,18860,18657,18479,18368,18212,18239,18326
08091,Ouray County,CO,4447,4413,4494,4540,4560,4589,4784,4794
08093,Park County,CO,16276,16043,16033,16168,16364,16715,17350,17905
08095,Phillips County,CO,4472,4374,4393,4363,4382,4315,4281,4292
08097,Pitkin County,CO,17156,17146,17259,17425,17664,17862,17894,17890
08099,Prowers County,CO,12571,12516,12437,12331,12075,11953,11989,12070
08101,Pueblo County,CO,159463,160171,160735,161070,161419,163043,164834,166475
08103,Rio Blanco County,CO,6668,6771,6792,6732,6636,6515,6483,6420
08105,Rio Grande County,CO,12025,11905,11861,11676,11498,11338,11338,11301
08107,Routt County,CO,23446,23246,23253,23569,24019,24310,24679,25220
